Date,Flow
1/13/1972,133.5
1/14/1972,179.6
1/15/1972,103.8
1/16/1972,91.22
1/17/1972,115.5
1/18/1972,88.54
1/19/1972,86.81
1/20/1972,184.2
1/21/1972,158.4
1/22/1972,141.7
1/23/1972,113.2
1/24/1972,205.6
1/25/1972,108.3
1/26/1972,106.3
1/27/1972,94.91
1/28/1972,88.71
1/29/1972,200.2
1/30/1972,103.4
1/31/1972,95.76
2/1/1972,88.85
2/2/1972,84.48
2/3/1972,81.56
2/4/1972,104
2/5/1972,218.8
2/6/1972,110.9
2/7/1972,97.52
2/8/1972,96.34
2/9/1972,91.66
2/10/1972,86.3
2/11/1972,82.83
2/12/1972,83.49
2/13/1972,216.4
2/14/1972,100.9
2/15/1972,111.9
2/16/1972,90.89
2/17/1972,110.1
2/18/1972,125.8
2/19/1972,101.7
2/20/1972,109.4
2/21/1972,93.84
2/22/1972,192.5
2/23/1972,103
2/24/1972,93.29
2/25/1972,87.59
2/26/1972,83.82
2/27/1972,81.16
2/28/1972,79.16
2/29/1972,77.52
3/1/1972,76.08
3/2/1972,74.77
3/3/1972,96.07
3/4/1972,91.26
3/5/1972,93.23
3/6/1972,83.74
3/7/1972,78.64
3/8/1972,92.02
3/9/1972,113.9
3/10/1972,103.1
3/11/1972,87.68
3/12/1972,83.29
3/13/1972,87.14
3/14/1972,110.2
3/15/1972,89.64
3/16/1972,81.74
3/17/1972,76.87
3/18/1972,73.63
3/19/1972,71.23
3/20/1972,69.39
3/21/1972,67.85
3/22/1972,66.45
3/23/1972,65.18
3/24/1972,63.97
3/25/1972,62.78
3/26/1972,61.65
3/27/1972,60.56
3/28/1972,59.43
3/29/1972,58.34
3/30/1972,97.02
3/31/1972,89.43
4/1/1972,71.73
4/2/1972,88.28
4/3/1972,135
4/4/1972,81.39
4/5/1972,71.33
4/6/1972,65.38
4/7/1972,61.47
4/8/1972,58.76
4/9/1972,61.5
4/10/1972,57.99
4/11/1972,55.63
4/12/1972,53.8
4/13/1972,52.33
4/14/1972,51.09
4/15/1972,49.9
4/16/1972,48.8
4/17/1972,47.81
4/18/1972,88.95
4/19/1972,69.15
4/20/1972,274.9
4/21/1972,203.1
4/22/1972,92.08
4/23/1972,75.02
4/24/1972,65.35
4/25/1972,59.32
4/26/1972,55.38
4/27/1972,52.73
4/28/1972,50.75
4/29/1972,121.4
4/30/1972,66.33
5/1/1972,58.51
5/2/1972,53.93
5/3/1972,50.78
5/4/1972,48.63
5/5/1972,46.96
5/6/1972,45.65
5/7/1972,44.6
5/8/1972,43.56
5/9/1972,42.65
5/10/1972,41.9
5/11/1972,40.96
5/12/1972,42.9
5/13/1972,79.34
5/14/1972,221.1
5/15/1972,81.25
5/16/1972,64
5/17/1972,60.5
5/18/1972,107.6
5/19/1972,100.4
5/20/1972,67.01
5/21/1972,57.07
5/22/1972,51.2
5/23/1972,47.45
5/24/1972,44.95
5/25/1972,43.2
5/26/1972,41.8
5/27/1972,40.75
5/28/1972,39.88
5/29/1972,38.94
5/30/1972,38.16
5/31/1972,37.36
6/1/1972,36.71
6/2/1972,37.21
6/3/1972,36.82
6/4/1972,35.36
6/5/1972,34.36
6/6/1972,47.69
6/7/1972,40.29
6/8/1972,36.78
6/9/1972,34.25
6/10/1972,32.5
6/11/1972,31.28
6/12/1972,30.21
6/13/1972,29.39
6/14/1972,28.62
6/15/1972,27.81
6/16/1972,27.22
6/17/1972,26.89
6/18/1972,26.25
6/19/1972,25.65
6/20/1972,24.89
6/21/1972,24.24
6/22/1972,23.54
6/23/1972,23.71
6/24/1972,22.71
6/25/1972,21.83
6/26/1972,21.16
6/27/1972,20.56
6/28/1972,19.83
6/29/1972,19.41
6/30/1972,18.88
7/1/1972,18.45
7/2/1972,17.97
7/3/1972,17.5
7/4/1972,16.89
7/5/1972,16.38
7/6/1972,15.88
7/7/1972,15.94
7/8/1972,15.23
7/9/1972,14.61
7/10/1972,14.22
7/11/1972,13.75
7/12/1972,13.29
7/13/1972,12.74
7/14/1972,11.95
7/15/1972,10.91
7/16/1972,9.342
7/17/1972,9.652
7/18/1972,8.169
7/19/1972,6.949
7/20/1972,5.584
7/21/1972,4.996
7/22/1972,4.749
7/23/1972,4.446
7/24/1972,4.01
7/25/1972,3.653
7/26/1972,3.334
7/27/1972,3.201
7/28/1972,2.829
7/29/1972,2.778
7/30/1972,2.713
7/31/1972,2.776
8/1/1972,2.694
8/2/1972,2.494
8/3/1972,2.42
8/4/1972,2.242
8/5/1972,1.996
8/6/1972,1.998
8/7/1972,2.212
8/8/1972,2.179
8/9/1972,1.968
8/10/1972,1.794
8/11/1972,1.522
8/12/1972,6.177
8/13/1972,30.92
8/14/1972,181.5
8/15/1972,63.5
8/16/1972,36.35
8/17/1972,24.95
8/18/1972,18.39
8/19/1972,14.55
8/20/1972,12.23
8/21/1972,10.75
8/22/1972,9.836
8/23/1972,9.218
8/24/1972,8.745
8/25/1972,8.388
8/26/1972,8.118
8/27/1972,7.96
8/28/1972,7.773
8/29/1972,7.6
8/30/1972,7.424
8/31/1972,7.261
9/1/1972,7.117
9/2/1972,6.97
9/3/1972,6.857
9/4/1972,6.749
9/5/1972,6.624
9/6/1972,8.239
9/7/1972,13.56
9/8/1972,12.62
9/9/1972,10.2
9/10/1972,8.71
9/11/1972,7.82
9/12/1972,7.252
9/13/1972,6.799
9/14/1972,6.517
9/15/1972,14.51
9/16/1972,10.99
9/17/1972,9.058
9/18/1972,7.821
9/19/1972,7.061
9/20/1972,6.557
9/21/1972,6.189
9/22/1972,5.856
9/23/1972,5.669
9/24/1972,5.469
9/25/1972,5.322
9/26/1972,5.221
9/27/1972,5.025
9/28/1972,4.859
9/29/1972,4.687
9/30/1972,4.653
10/1/1972,4.398
10/2/1972,4.348
10/3/1972,4.178
10/4/1972,4.095
10/5/1972,3.969
10/6/1972,3.64
10/7/1972,3.096
10/8/1972,2.556
10/9/1972,2.361
10/10/1972,1.84
10/11/1972,1.791
10/12/1972,1.828
10/13/1972,1.567
10/14/1972,1.671
10/15/1972,1.567
10/16/1972,1.654
10/17/1972,1.307
10/18/1972,1.501
10/19/1972,1.032
10/20/1972,1.426
10/21/1972,1.203
10/22/1972,12.33
10/23/1972,7.586
10/24/1972,5.154
10/25/1972,8.271
10/26/1972,5.575
10/27/1972,3.946
10/28/1972,12.91
10/29/1972,26.75
10/30/1972,35.16
10/31/1972,93.69
11/1/1972,30.39
11/2/1972,20.83
11/3/1972,15.38
11/4/1972,36.77
11/5/1972,53.9
11/6/1972,26.68
11/7/1972,20.04
11/8/1972,16.25
11/9/1972,13.94
11/10/1972,12.57
11/11/1972,11.72
11/12/1972,11.15
11/13/1972,155.2
11/14/1972,375.6
11/15/1972,101.3
11/16/1972,62.49
11/17/1972,44.27
11/18/1972,34.61
11/19/1972,28.74
11/20/1972,25.3
11/21/1972,23.08
11/22/1972,21.75
11/23/1972,20.8
11/24/1972,20.22
11/25/1972,19.76
11/26/1972,19.44
11/27/1972,19.17
11/28/1972,18.94
11/29/1972,18.75
11/30/1972,18.56
12/1/1972,24.07
12/2/1972,78.22
12/3/1972,40.26
12/4/1972,43.18
12/5/1972,41.72
12/6/1972,92.45
12/7/1972,84.27
12/8/1972,273
12/9/1972,73.86
12/10/1972,56.56
12/11/1972,46.93
12/12/1972,46.29
12/13/1972,77.04
12/14/1972,118.1
12/15/1972,72.24
12/16/1972,65.63
12/17/1972,53.87
12/18/1972,47.47
12/19/1972,44.18
12/20/1972,42.01
12/21/1972,41.17
12/22/1972,90.5
12/23/1972,82.68
12/24/1972,59
12/25/1972,53.11
12/26/1972,48.77
12/27/1972,48.25
12/28/1972,84.14
12/29/1972,69.9
12/30/1972,58.81
12/31/1972,53.74
1/1/1973,54.3
1/2/1973,55.99
1/3/1973,51.61
1/4/1973,49.07
1/5/1973,47.54
1/6/1973,46.27
1/7/1973,45.34
1/8/1973,44.59
1/9/1973,44.02
1/10/1973,43.55
1/11/1973,45.08
1/12/1973,49.6
1/13/1973,80.91
1/14/1973,202.4
1/15/1973,80.61
1/16/1973,68.97
1/17/1973,147.1
1/18/1973,99.27
1/19/1973,74.77
1/20/1973,72.8
1/21/1973,79.72
1/22/1973,137.9
1/23/1973,90.96
1/24/1973,126
1/25/1973,121.4
1/26/1973,85.76
1/27/1973,227.7
1/28/1973,345.2
1/29/1973,288.6
1/30/1973,149
1/31/1973,125.4
2/1/1973,142.1
2/2/1973,101.8
2/3/1973,91.03
2/4/1973,84.64
2/5/1973,80.6
2/6/1973,93.71
2/7/1973,78.44
2/8/1973,92.89
2/9/1973,292.7
2/10/1973,270.9
2/11/1973,125.8
2/12/1973,113.1
2/13/1973,109.4
2/14/1973,97.07
2/15/1973,91.77
2/16/1973,86.98
2/17/1973,83.83
2/18/1973,81.63
2/19/1973,79.98
2/20/1973,79.79
2/21/1973,115.1
2/22/1973,162.2
2/23/1973,448.3
2/24/1973,156.4
2/25/1973,116.8
2/26/1973,103
2/27/1973,94.73
2/28/1973,89.46
3/1/1973,85.84
3/2/1973,83.26
3/3/1973,81.24
3/4/1973,79.6
3/5/1973,78.19
3/6/1973,76.8
3/7/1973,75.59
3/8/1973,74.42
3/9/1973,73.22
3/10/1973,72.06
3/11/1973,70.95
3/12/1973,69.78
3/13/1973,68.57
3/14/1973,67.38
3/15/1973,66.22
3/16/1973,65.12
3/17/1973,63.94
3/18/1973,62.78
3/19/1973,61.63
3/20/1973,60.48
3/21/1973,59.39
3/22/1973,59.69
3/23/1973,67.02
3/24/1973,61.65
3/25/1973,66.11
3/26/1973,227
3/27/1973,165.7
3/28/1973,132.7
3/29/1973,117.3
3/30/1973,115.5
3/31/1973,85.7
4/1/1973,75.46
4/2/1973,76.21
4/3/1973,86.17
4/4/1973,236.4
4/5/1973,147.8
4/6/1973,105.6
4/7/1973,101
4/8/1973,100.9
4/9/1973,95.96
4/10/1973,85.21
4/11/1973,77.37
4/12/1973,72.49
4/13/1973,69.21
4/14/1973,66.92
4/15/1973,65.22
4/16/1973,68.84
4/17/1973,76.04
4/18/1973,68.72
4/19/1973,65.15
4/20/1973,62.69
4/21/1973,66.11
4/22/1973,62.51
4/23/1973,60.08
4/24/1973,63.55
4/25/1973,60
4/26/1973,57.51
4/27/1973,60.73
4/28/1973,64.66
4/29/1973,99.88
4/30/1973,71.13
5/1/1973,73.16
5/2/1973,64.32
5/3/1973,59.18
5/4/1973,55.81
5/5/1973,53.47
5/6/1973,51.74
5/7/1973,50.18
5/8/1973,80.8
5/9/1973,120.2
5/10/1973,71.09
5/11/1973,61.44
5/12/1973,55.72
5/13/1973,51.99
5/14/1973,49.4
5/15/1973,47.54
5/16/1973,46.03
5/17/1973,44.77
5/18/1973,43.62
5/19/1973,100
5/20/1973,59.57
5/21/1973,52.09
5/22/1973,47.48
5/23/1973,44.43
5/24/1973,45
5/25/1973,62.61
5/26/1973,118.7
5/27/1973,76.07
5/28/1973,59.84
5/29/1973,51.83
5/30/1973,46.76
5/31/1973,43.49
6/1/1973,41.17
6/2/1973,39.63
6/3/1973,38.26
6/4/1973,37.27
6/5/1973,40.5
6/6/1973,39.91
6/7/1973,37.24
6/8/1973,35.32
6/9/1973,33.98
6/10/1973,38.74
6/11/1973,51.37
6/12/1973,41.03
6/13/1973,36.64
6/14/1973,33.84
6/15/1973,36.02
6/16/1973,39.72
6/17/1973,49.01
6/18/1973,41.54
6/19/1973,35.67
6/20/1973,45.41
6/21/1973,73.74
6/22/1973,57.42
6/23/1973,44.1
6/24/1973,37.59
6/25/1973,33.51
6/26/1973,30.85
6/27/1973,29.1
6/28/1973,27.82
6/29/1973,26.78
